tag,patterns,responses
greeting,Hai,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Hey,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Apakah ada orang di sini?,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Woy,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Hello,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Halo,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Howdy,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Hola,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Bonjour,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Konnichiwa,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Guten tag,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Ola,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
greeting,Apa kabar?,"['Halo. Ceritakan bagaimana perasaanmu hari ini?', 'Hai. Apa yang membawamu kesini hari ini?', 'Hai. Bagaimana perasaanmu hari ini?', 'Senang melihatmu. Bagaimana perasaanmu saat ini?', 'Halo. Senang melihat kamu kembali. Apa yang sedang terjadi dalam hidupmu saat ini?', 'Halo. Saya di sini untuk mendengarkanmu. Ada yang bisa saya bantu?']"
